site,date,year,death,yll,pop,tm,rh,tmax,tmin,PM10,dow,t
LocationA,2006-4-3,2006,5,23.04341,42372.4,2.137858,65.03987,3.464906,-7.08974,167.7403,2,93
LocationA,2006-4-4,2006,2,0,42372.4,1.610055,65.72415,1.963136,-7.723198,174.8107,3,94
LocationA,2006-4-5,2006,0,0,42372.4,1.452917,65.02799,2.349286,-7.694636,170.5865,4,95
LocationA,2006-4-6,2006,0,0,42372.4,3.436755,50.38408,5.679247,-7.528911,157.526,5,96
LocationA,2006-4-7,2006,0,0,42372.4,3.029393,61.31096,3.564887,-6.644926,161.7645,6,97
LocationA,2006-4-8,2006,1,13.49574,42372.4,3.372668,52.87666,6.299372,-8.07053,168.1332,7,98
LocationA,2006-4-9,2006,2,28.52165,42372.4,4.731992,44.17606,10.28442,-8.173231,176.5288,1,99
LocationA,2006-4-10,2006,0,0,42372.4,8.366305,38.82547,12.37103,-1.957044,229.4924,2,100
LocationA,2006-4-11,2006,0,0,42372.4,8.466606,44.80748,10.58365,-2.056663,225.3536,3,101
LocationA,2006-4-12,2006,0,0,42372.4,8.727662,39.82105,11.44952,-5.843181,208.9662,4,102
LocationA,2006-4-13,2006,0,0,42372.4,8.809008,30.49108,9.054833,-3.543017,218.9609,5,103
LocationA,2006-4-14,2006,1,13.49574,42372.4,7.563805,34.42792,8.517461,-4.364772,181.6383,6,104
LocationA,2006-4-15,2006,3,110.1109,42372.4,7.697454,33.72169,7.721854,-4.125052,208.8141,7,105
LocationA,2006-4-16,2006,1,30.0593,42372.4,7.959611,34.21233,8.529605,-4.511881,212.6789,1,106
LocationA,2006-4-17,2006,0,0,42372.4,8.202522,30.01359,10.31464,-4.352485,179.8133,2,107
LocationA,2006-4-18,2006,1,27.41205,42372.4,6.948363,50.36329,6.549859,-1.707323,171.6887,3,108
LocationA,2006-4-19,2006,0,0,42372.4,5.344567,57.28179,5.863727,-4.154626,134.9369,4,109
LocationA,2006-4-20,2006,4,105.6922,42372.4,3.453436,50.84213,6.405327,-6.904204,145.944,5,110
LocationA,2006-4-21,2006,0,0,42372.4,3.609605,54.70096,6.062308,-5.91748,140.8051,6,111
LocationA,2006-4-22,2006,0,0,42372.4,4.621416,55.59435,7.573311,-7.213315,138.5681,7,112
LocationA,2006-4-23,2006,0,0,42372.4,5.17747,54.06332,6.159869,-5.126279,136.5909,1,113
LocationA,2006-4-24,2006,3,54.99981,42372.4,5.219369,61.44961,8.792521,-6.450943,131.9926,2,114
LocationA,2006-4-25,2006,1,77.17059,42372.4,5.880809,57.13986,6.386865,-3.710492,134.7102,3,115
LocationA,2006-4-26,2006,0,0,42372.4,4.676339,56.81586,7.223915,-7.216767,130.1537,4,116
LocationA,2006-4-27,2006,0,0,42372.4,4.951817,41.71008,6.425446,-5.79927,159.459,5,117
LocationA,2006-4-28,2006,0,0,42372.4,5.351852,23.25706,6.597763,-8.439102,195.133,6,118
LocationA,2006-4-29,2006,2,29.2706,42372.4,5.053888,24.68415,8.432387,-8.867703,178.6623,7,119
LocationA,2006-4-30,2006,0,0,42372.4,6.731232,29.26419,11.46953,-7.868896,179.0294,1,120
LocationA,2006-5-1,2006,3,82.24561,42372.4,8.811024,26.32404,14.84126,-6.702588,149.0013,2,121
LocationA,2006-5-2,2006,0,0,42372.4,7.623663,48.59311,11.22056,-3.205795,135.5159,3,122
LocationA,2006-5-3,2006,0,0,42372.4,7.012593,68.93069,10.22348,-3.299113,126.1323,4,123
LocationA,2006-5-4,2006,1,21.22672,42372.4,8.717015,60.42977,11.91392,-3.303492,127.302,5,124
LocationA,2006-5-5,2006,1,77.17059,42372.4,8.075231,57.10319,8.943943,-2.338673,138.4495,6,125
LocationA,2006-5-6,2006,1,34.70382,42372.4,7.900141,55.06801,9.789155,-3.95957,128.5778,7,126
LocationA,2006-5-7,2006,0,0,42372.4,8.592957,47.18218,13.09174,-4.078757,117.895,1,127
LocationA,2006-5-8,2006,1,77.17059,42372.4,8.810922,47.62086,12.75585,-4.800715,124.7661,2,128
LocationA,2006-5-9,2006,1,74.05119,42372.4,9.968197,53.62109,14.1368,-2.895234,118.5739,3,129
LocationA,2006-5-10,2006,1,5.58305,42372.4,9.535308,69.10386,10.38401,-0.212544,109.4302,4,130
LocationA,2006-5-11,2006,0,0,42372.4,10.11323,55.66464,11.53189,-0.006047138,120.481,5,131
LocationA,2006-5-12,2006,0,0,42372.4,7.452715,79.51582,9.17576,-0.9310387,130.241,6,132
LocationA,2006-5-13,2006,0,0,42372.4,4.974891,77.92853,2.987248,-3.018017,144.7463,7,133
LocationA,2006-5-14,2006,0,0,42372.4,6.443987,54.58376,5.881789,-5.233782,149.4039,1,134
LocationA,2006-5-15,2006,0,0,42372.4,6.606983,45.19825,10.02197,-5.853745,156.5883,2,135
LocationA,2006-5-16,2006,2,59.36845,42372.4,8.643865,39.02914,11.37654,-5.376494,132.4027,3,136
LocationA,2006-5-17,2006,0,0,42372.4,9.962851,39.56087,12.51113,-3.682947,128.3517,4,137
LocationA,2006-5-18,2006,0,0,42372.4,10.64824,42.27737,15.29334,-4.374454,117.1262,5,138
LocationA,2006-5-19,2006,0,0,42372.4,9.760962,55.89085,12.07676,-0.3989143,122.6625,6,139
LocationA,2006-5-20,2006,1,44.20913,42372.4,8.884017,62.20732,7.807749,-0.8263786,119.5696,7,140
LocationA,2006-5-21,2006,0,0,42372.4,9.730394,40.4011,10.78095,-1.540681,126.3052,1,141
LocationA,2006-5-22,2006,0,0,42372.4,8.23939,67.74556,8.820309,-0.7629108,154.665,2,142
LocationA,2006-5-23,2006,0,0,42372.4,9.439493,73.02538,9.970127,-0.1988664,108.823,3,143
LocationA,2006-5-24,2006,0,0,42372.4,10.61168,69.10237,12.21044,-0.7681934,110.8969,4,144
LocationA,2006-5-25,2006,1,9.00164,42372.4,11.49364,59.78751,14.27335,-0.591731,114.2181,5,145
LocationA,2006-5-26,2006,1,6.65432,42372.4,12.55204,63.23085,13.51244,1.22418,115.0232,6,146
LocationA,2006-5-27,2006,0,0,42372.4,12.59558,66.04255,13.97197,3.116417,115.2446,7,147
LocationA,2006-5-28,2006,0,0,42372.4,10.94607,71.12735,12.58361,1.955665,108.6551,1,148
LocationA,2006-5-29,2006,2,11.1661,42372.4,11.32263,73.56975,11.81697,2.747242,103.8194,2,149
LocationA,2006-5-30,2006,1,11.71357,42372.4,11.39934,73.91743,13.60618,1.704924,103.3781,3,150
LocationA,2006-5-31,2006,0,0,42372.4,13.14002,70.82673,14.99162,3.352101,112.8391,4,151
LocationA,2006-6-1,2006,3,135.6093,42372.4,14.14947,65.20768,14.99601,3.978348,110.7412,5,152
LocationA,2006-6-2,2006,1,10.39095,42372.4,14.16048,61.5334,16.10138,3.486926,112.307,6,153
LocationA,2006-6-3,2006,2,51.67852,42372.4,14.73014,62.744,17.0398,3.690986,123.3141,7,154
LocationA,2006-6-4,2006,2,34.3022,42372.4,15.07833,58.83028,16.47939,5.017896,118.0852,1,155
LocationA,2006-6-5,2006,2,21.22672,42372.4,15.52149,59.40292,17.15698,5.515055,125.9063,2,156
LocationA,2006-6-6,2006,1,45.99439,42372.4,14.7839,65.51302,16.45341,4.074394,117.3692,3,157
LocationA,2006-6-7,2006,4,97.0946,42372.4,15.46894,63.60036,16.92371,4.178427,111.841,4,158
LocationA,2006-6-8,2006,1,0,42372.4,16.1637,57.64732,16.75444,4.996329,126.8773,5,159
LocationA,2006-6-9,2006,0,0,42372.4,15.46083,65.35999,16.91394,4.471969,116.7084,6,160
LocationA,2006-6-10,2006,1,9.00164,42372.4,13.50309,74.38458,14.17242,4.645714,118.093,7,161
LocationA,2006-6-11,2006,1,23.04341,42372.4,14.96887,67.94201,14.27825,4.698337,115.7725,1,162
LocationA,2006-6-12,2006,2,42.43796,42372.4,16.88108,57.33907,17.68244,4.456141,130.5842,2,163
LocationA,2006-6-13,2006,1,52.77188,42372.4,16.86642,45.58346,17.54592,5.022074,123.5848,3,164
LocationA,2006-6-14,2006,0,0,42372.4,15.01093,45.67813,15.28751,4.213519,128.1851,4,165
LocationA,2006-6-15,2006,0,0,42372.4,13.93098,52.83735,14.32115,2.558378,124.3408,5,166
LocationA,2006-6-16,2006,0,0,42372.4,12.87581,56.35752,12.6921,2.163065,122.0549,6,167
LocationA,2006-6-17,2006,0,0,42372.4,14.89569,52.24542,16.4705,2.344119,112.9058,7,168
LocationA,2006-6-18,2006,0,0,42372.4,15.65475,44.65368,16.15411,3.930082,126.3258,1,169
LocationA,2006-6-19,2006,3,88.38203,42372.4,16.02774,42.46779,16.48914,2.711908,122.3303,2,170
LocationA,2006-6-20,2006,3,81.36514,42372.4,15.64044,48.88982,16.22008,2.976469,126.0355,3,171
LocationA,2006-6-21,2006,2,98.39731,42372.4,14.61806,52.35515,15.57358,4.059213,124.0943,4,172
LocationA,2006-6-22,2006,0,0,42372.4,11.85352,71.14715,12.97994,2.762053,117.6423,5,173
LocationA,2006-6-23,2006,5,143.7377,42372.4,13.61715,58.42726,14.72587,2.09993,109.4173,6,174
LocationA,2006-6-24,2006,1,60.31265,42372.4,13.42945,57.66284,16.19466,1.709926,122.2344,7,175
LocationA,2006-6-25,2006,2,73.14872,42372.4,10.91325,72.81189,12.18368,2.481394,111.6157,1,176
LocationA,2006-6-26,2006,0,0,42372.4,11.91404,73.38791,14.18369,3.082315,103.2547,2,177
LocationA,2006-6-27,2006,1,30.0593,42372.4,12.28838,79.50677,12.56036,4.26628,107.985,3,178
LocationA,2006-6-28,2006,2,26.15274,42372.4,12.49415,79.38416,12.94224,3.343097,99.80073,4,179
LocationA,2006-6-29,2006,0,0,42372.4,13.85666,71.52248,13.21789,4.638503,113.3759,5,180
LocationA,2006-6-30,2006,1,5.58305,42372.4,14.73787,69.09254,15.41291,5.085332,112.1781,6,181
LocationA,2006-7-1,2006,0,0,42372.4,16.055,64.42304,17.47548,5.442287,109.8106,7,182
LocationA,2006-7-2,2006,1,17.1511,42372.4,15.9426,66.13735,17.22219,5.724188,112.3116,1,183
LocationA,2006-7-3,2006,2,81.72771,42372.4,16.06292,66.03047,16.84451,6.412008,114.5411,2,184
LocationA,2006-7-4,2006,0,0,42372.4,15.53509,66.3948,16.76271,5.5882,112.7735,3,185
LocationA,2006-7-5,2006,1,17.1511,42372.4,15.78724,66.58398,17.31101,5.906936,123.6542,4,186
LocationA,2006-7-6,2006,4,111.5388,42372.4,13.71378,78.56682,15.11133,4.786253,102.9795,5,187
LocationA,2006-7-7,2006,2,15.02591,42372.4,14.87111,68.93154,15.56187,5.192382,104.4855,6,188
LocationA,2006-7-8,2006,1,15.02591,42372.4,16.03682,52.92909,18.33652,4.41416,105.558,7,189
LocationA,2006-7-9,2006,1,17.1511,42372.4,16.29544,53.57841,19.69494,4.605069,112.0256,1,190
LocationA,2006-7-10,2006,3,119.5831,42372.4,16.13452,57.51679,19.19687,3.575565,113.1987,2,191
LocationA,2006-7-11,2006,0,0,42372.4,15.56867,69.81059,15.72081,7.055038,107.1167,3,192
LocationA,2006-7-12,2006,0,0,42372.4,14.78722,77.6136,16.17728,5.852983,105.4491,4,193
LocationA,2006-7-13,2006,1,25.56679,42372.4,14.93423,74.89539,16.0041,5.844959,111.3167,5,194
LocationA,2006-7-14,2006,3,86.14093,42372.4,15.71048,73.94654,18.10179,6.285799,114.9377,6,195
LocationA,2006-7-15,2006,2,42.71789,42372.4,15.26334,75.33928,17.13246,5.640868,108.513,7,196
LocationA,2006-7-16,2006,0,0,42372.4,18.0083,61.47232,20.16971,5.990164,116.1371,1,197
LocationA,2006-7-17,2006,1,25.56679,42372.4,17.55768,55.12966,20.71752,4.572708,110.3691,2,198
LocationA,2006-7-18,2006,0,0,42372.4,17.26175,58.93334,19.83616,5.493554,111.3944,3,199
LocationA,2006-7-19,2006,2,83.82491,42372.4,16.02443,61.24104,19.00787,5.927585,118.0398,4,200
LocationA,2006-7-20,2006,2,30.64684,42372.4,16.35635,59.97265,19.00148,4.641233,126.0844,5,201
LocationA,2006-7-21,2006,0,0,42372.4,16.99821,56.52741,20.25015,4.865839,110.062,6,202
LocationA,2006-7-22,2006,1,41.28757,42372.4,16.99159,58.81563,19.49779,6.484203,113.7435,7,203
LocationA,2006-7-23,2006,1,0,42372.4,14.3969,77.60078,14.54655,6.189261,108.1354,1,204
LocationA,2006-7-24,2006,0,0,42372.4,12.46175,63.20293,13.56581,2.986775,114.352,2,205
LocationA,2006-7-25,2006,0,0,42372.4,14.04523,57.43471,15.31496,3.074866,106.6151,3,206
LocationA,2006-7-26,2006,0,0,42372.4,13.44497,58.11749,16.12658,2.196113,117.1952,4,207
LocationA,2006-7-27,2006,2,84.44214,42372.4,13.29491,66.7498,16.34504,2.770164,108.2946,5,208
LocationA,2006-7-28,2006,0,0,42372.4,14.53991,62.09286,16.25609,3.804886,108.71,6,209
LocationA,2006-7-29,2006,2,23.04341,42372.4,14.5889,60.69995,15.55157,3.245395,109.9467,7,210
LocationA,2006-7-30,2006,2,56.31348,42372.4,15.04749,56.75276,16.95591,2.365101,113.2632,1,211
LocationA,2006-7-31,2006,1,15.02591,42372.4,15.17832,59.90653,17.31879,4.305517,123.1025,2,212
LocationA,2006-8-1,2006,1,18.87965,42372.4,14.74229,58.37677,16.26171,3.575616,130.4874,3,213
LocationA,2006-8-2,2006,0,0,42372.4,14.61926,59.04367,16.81776,1.859941,115.8658,4,214
LocationA,2006-8-3,2006,0,0,42372.4,13.7217,60.12739,14.98961,3.68202,126.8463,5,215
LocationA,2006-8-4,2006,0,0,42372.4,12.08077,72.37444,14.59356,0.8316131,106.3956,6,216
LocationA,2006-8-5,2006,1,74.05119,42372.4,12.9038,64.21559,15.54965,1.517483,112.5381,7,217
LocationA,2006-8-6,2006,0,0,42372.4,14.07665,58.53376,17.23659,0.5205709,107.8708,1,218
LocationA,2006-8-7,2006,0,0,42372.4,13.91439,58.69519,16.93832,0.9708306,120.5651,2,219
LocationA,2006-8-8,2006,1,74.05119,42372.4,13.67174,63.57274,17.56339,1.368151,109.2367,3,220
LocationA,2006-8-9,2006,0,0,42372.4,15.04022,50.29178,17.04671,2.107961,115.9008,4,221
LocationA,2006-8-10,2006,2,84.44214,42372.4,14.65049,50.68809,17.2569,2.393666,120.7899,5,222
LocationA,2006-8-11,2006,1,25.56679,42372.4,16.28826,50.24527,18.65129,3.650793,112.8479,6,223
LocationA,2006-8-12,2006,0,0,42372.4,15.24612,55.63766,18.19483,2.952763,113.3531,7,224
LocationA,2006-8-13,2006,0,0,42372.4,15.7499,54.84376,16.95988,4.570002,118.1462,1,225
LocationA,2006-8-14,2006,2,30.0593,42372.4,15.05242,62.44154,16.72768,5.053148,116.2114,2,226
LocationA,2006-8-15,2006,1,7.67652,42372.4,16.29746,55.35357,17.79686,5.559531,121.527,3,227
LocationA,2006-8-16,2006,1,7.67652,42372.4,16.61877,48.33905,19.39072,3.789251,112.0002,4,228
LocationA,2006-8-17,2006,0,0,42372.4,17.76778,46.81234,19.38824,6.013806,116.2221,5,229
LocationA,2006-8-18,2006,0,0,42372.4,16.56068,55.7325,19.13044,3.848415,122.6411,6,230
LocationA,2006-8-19,2006,3,54.9104,42372.4,15.8414,63.0354,18.45618,5.69587,122.4511,7,231
LocationA,2006-8-20,2006,1,30.0593,42372.4,14.39976,68.63559,15.49308,5.156564,114.1344,1,232
LocationA,2006-8-21,2006,2,68.36298,42372.4,15.21247,61.6163,16.40231,4.358067,113.1482,2,233
LocationA,2006-8-22,2006,0,0,42372.4,15.48455,60.02132,17.82402,4.811804,124.2894,3,234
LocationA,2006-8-23,2006,0,0,42372.4,13.49755,68.21136,13.558,5.4471,113.7839,4,235
LocationA,2006-8-24,2006,0,0,42372.4,12.76832,76.13109,15.13082,4.810013,108.3843,5,236
LocationA,2006-8-25,2006,1,11.71357,42372.4,13.57897,68.58504,16.77421,3.607338,113.6437,6,237
LocationA,2006-8-26,2006,0,0,42372.4,13.82891,70.66174,14.94164,5.406036,116.4794,7,238
LocationA,2006-8-27,2006,0,0,42372.4,12.69152,76.63923,13.90775,3.625243,109.4487,1,239
LocationA,2006-8-28,2006,0,0,42372.4,13.93013,67.03244,16.56409,4.664155,111.6348,2,240
LocationA,2006-8-29,2006,0,0,42372.4,14.13008,65.49729,16.11022,5.022723,119.9846,3,241
LocationA,2006-8-30,2006,0,0,42372.4,14.1725,64.47533,16.8586,4.537433,112.5382,4,242
LocationA,2006-8-31,2006,0,0,42372.4,14.23304,64.02668,16.93445,3.498928,116.64,5,243
LocationA,2006-9-1,2006,2,69.4826,42372.4,14.64535,58.66624,17.37299,3.343358,110.9814,6,244
LocationA,2006-9-2,2006,0,0,42372.4,13.42478,57.35352,16.68278,2.523003,106.9328,7,245
LocationA,2006-9-3,2006,1,31.9564,42372.4,14.63372,56.85817,18.35326,2.488339,112.4532,1,246
LocationA,2006-9-4,2006,0,0,42372.4,14.61318,56.96461,19.45547,2.134744,111.9914,2,247
LocationA,2006-9-5,2006,1,5.58305,42372.4,15.05128,59.5783,19.30768,4.30537,113.7285,3,248
LocationA,2006-9-6,2006,0,0,42372.4,14.62963,61.10476,18.96265,3.77422,112.8881,4,249
LocationA,2006-9-7,2006,0,0,42372.4,14.27452,62.41789,18.52029,5.014798,113.4445,5,250
LocationA,2006-9-8,2006,1,0,42372.4,13.84469,67.24256,16.41047,3.331397,108.7597,6,251
LocationA,2006-9-9,2006,0,0,42372.4,12.78165,72.53963,12.20316,5.045836,113.3779,7,252
